iShares Russell 1000 ETF
Fund Holdings as of,"Mar 25, 2026"
Inception Date,"May 15, 2000"
Shares Outstanding,"121,100,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"CDNS","CADENCE DESIGN SYSTEMS INC","Information Technology","Equity","54,949,276.42","0.13","54,949,276.42","195,278.00","281.39","United States","NASDAQ","USD","1.00","USD","-"
"FDX","FEDEX CORP","Industrials","Equity","54,865,734.24","0.13","54,865,734.24","153,462.00","357.52","United States","NYSE","USD","1.00","USD","-"
"ORLY","OREILLY AUTOMOTIVE INC","Consumer Discretionary","Equity","54,855,712.32","0.13","54,855,712.32","601,752.00","91.16","United States","NASDAQ","USD","1.00","USD","Jan 01, 1970"
"REGN","REGENERON PHARMACEUTICALS INC","Health Care","Equity","54,576,405.40","0.13","54,576,405.40","72,820.00","749.47","United States","NASDAQ","USD","1.00","USD","-"
"CMI","CUMMINS INC","Industrials","Equity","54,535,841.44","0.13","54,535,841.44","98,554.00","553.36","United States","NYSE","USD","1.00","USD","-"
"MSI","MOTOROLA SOLUTIONS INC","Information Technology","Equity","53,800,982.90","0.12","53,800,982.90","119,290.00","451.01","United States","NYSE","USD","1.00","USD","-"
"MDLZ","MONDELEZ INTERNATIONAL INC CLASS A","Consumer Staples","Equity","53,175,011.30","0.12","53,175,011.30","925,910.00","57.43","United States","NASDAQ","USD","1.00","USD","-"
"CSX","CSX CORP","Industrials","Equity","53,147,693.67","0.12","53,147,693.67","1,343,131.00","39.57","United States","NASDAQ","USD","1.00","USD","-"
"SHW","SHERWIN WILLIAMS","Materials","Equity","53,036,111.30","0.12","53,036,111.30","164,734.00","321.95","United States","NYSE","USD","1.00","USD","-"
"EMR","EMERSON ELECTRIC","Industrials","Equity","52,729,251.84","0.12","52,729,251.84","402,944.00","130.86","United States","NYSE","USD","1.00","USD","-"
"PSX","PHILLIPS","Energy","Equity","52,168,372.98","0.12","52,168,372.98","287,762.00","181.29","United States","NYSE","USD","1.00","USD","-"
"SPOT","SPOTIFY TECHNOLOGY SA","Communication","Equity","51,941,422.44","0.12","51,941,422.44","109,764.00","473.21","Sweden","NYSE","USD","1.00","USD","-"
"MPC","MARATHON PETROLEUM CORP","Energy","Equity","51,883,707.50","0.12","51,883,707.50","215,062.00","241.25","United States","NYSE","USD","1.00","USD","-"
"MAR","MARRIOTT INTERNATIONAL INC CLASS A","Consumer Discretionary","Equity","51,856,017.57","0.12","51,856,017.57","158,683.00","326.79","United States","NASDAQ","USD","1.00","USD","-"
"UPS","UNITED PARCEL SERVICE INC CLASS B","Industrials","Equity","51,493,645.53","0.12","51,493,645.53","523,469.00","98.37","United States","NYSE","USD","1.00","USD","-"
"CI","CIGNA","Health Care","Equity","51,012,606.24","0.12","51,012,606.24","188,684.00","270.36","United States","NYSE","USD","1.00","USD","-"
"VLO","VALERO ENERGY CORP","Energy","Equity","50,929,188.30","0.12","50,929,188.30","217,145.00","234.54","United States","NYSE","USD","1.00","USD","-"
"CRH","CRH PUBLIC LIMITED PLC","Materials","Equity","50,874,836.25","0.12","50,874,836.25","479,725.00","106.05","United States","NYSE","USD","1.00","USD","-"
"RCL","ROYAL CARIBBEAN GROUP LTD","Consumer Discretionary","Equity","50,516,155.55","0.12","50,516,155.55","181,055.00","279.01","United States","NYSE","USD","1.00","USD","-"
"GM","GENERAL MOTORS","Consumer Discretionary","Equity","49,542,614.46","0.11","49,542,614.46","646,686.00","76.61","United States","NYSE","USD","1.00","USD","-"
